City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Mildura,AU,-34.2,142.15,76.06,42,28,10.29,scattered clouds
209,General Roca,AR,-39.0333,-67.5833,71.62,68,100,7.11,light rain
210,Tabuk,PH,17.4189,121.4443,74.86,78,43,5.14,scattered clouds
211,Qeshm,IR,26.9581,56.2719,58.89,48,0,24.61,clear sky
212,Quesnel,CA,52.9999,-122.5029,27.91,93,100,5.32,overcast clouds
213,Airai,TL,-8.9266,125.4092,61.72,96,100,2.71,overcast clouds
214,Sumbe,AO,-11.2061,13.8437,75.16,86,100,5.46,overcast clouds
215,Saint-Georges,GD,12.0564,-61.7485,76.93,77,57,16.89,light rain
216,Valkla,EE,59.4744,25.3186,32.05,90,100,4.27,overcast clouds
217,Ban Phai,TH,16.06,102.731,68.22,59,99,11.59,overcast clouds
218,Lumeje,AO,-11.55,20.7833,64.63,93,100,5.08,overcast clouds
219,Ziro,IN,27.6333,93.8333,32.74,63,3,3.11,clear sky
220,Flinders,AU,-34.5833,150.8552,73.18,58,80,8.99,broken clouds
221,Saint-Joseph,RE,-21.3667,55.6167,75.58,88,89,10.38,light rain
222,Les Cayes,HT,18.2,-73.75,71.24,81,4,3.65,clear sky
223,Methoni,GR,36.8197,21.7049,55.22,77,100,25.52,overcast clouds
224,Nabire,ID,-3.3667,135.4833,85.01,68,96,4.21,overcast clouds
225,Parry Sound,CA,45.3501,-80.033,28.45,86,100,10.71,overcast clouds
226,Ashtabula,US,41.7001,-80.7665,43.52,93,100,6.91,overcast clouds
227,Srednekolymsk,RU,67.45,153.6833,-31.14,98,100,3.13,overcast clouds
228,Kargil,IN,34.5667,76.1,-0.17,98,100,1.74,overcast clouds
229,Kushima,JP,31.4583,131.2333,59.63,55,3,10.38,clear sky
230,Cuyo,PH,10.8525,121.0086,79.63,89,56,26.93,broken clouds
231,Thinadhoo,MV,0.5333,72.9333,80.19,75,100,12.33,moderate rain
232,Homer,US,59.6425,-151.5483,31.87,91,100,13.0,mist
233,Senneterre,CA,48.3835,-77.2328,16.97,91,100,8.34,overcast clouds
234,Andalan,PH,5.9594,121.3903,81.09,73,18,2.91,few clouds
235,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,73,75,18.41,broken clouds
236,Qurayyat,SA,31.3318,37.3428,39.38,75,0,0.0,clear sky
237,Provideniya,RU,64.3833,-173.3,-12.89,70,0,4.47,clear sky
238,Biak,ID,-0.9131,122.8766,82.53,65,100,0.72,overcast clouds
239,Acari,PE,-15.4311,-74.6158,73.13,76,100,3.04,overcast clouds
240,Champerico,GT,14.3,-91.9167,76.91,76,0,6.82,clear sky
241,Maniitsoq,GL,65.4167,-52.9,-3.26,77,2,9.04,clear sky
242,Grindavik,IS,63.8424,-22.4338,37.87,81,100,29.93,light rain
243,Governador Valadares,BR,-18.8511,-41.9494,71.06,95,99,3.49,overcast clouds
244,Sorland,NO,67.667,12.6934,37.26,84,100,17.92,overcast clouds
245,Yulara,AU,-25.2406,130.9889,82.8,22,99,11.25,overcast clouds
246,Amahai,ID,-3.3333,128.9167,85.98,61,94,3.13,overcast clouds
247,Jinchang,CN,38.4953,102.1739,19.62,21,0,3.22,clear sky
248,Louis Trichardt,ZA,-23.0439,29.9032,68.88,67,87,2.77,overcast clouds
249,Longyearbyen,SJ,78.2186,15.6401,30.04,74,75,8.05,broken clouds
250,Vaitape,PF,-16.5167,-151.75,80.46,76,23,17.52,light rain
251,Puerto Suarez,BO,-18.95,-57.8,75.06,84,83,0.78,broken clouds
252,Katsuura,JP,35.1333,140.3,50.68,66,36,9.84,scattered clouds
253,Arraial Do Cabo,BR,-22.9661,-42.0278,74.43,88,0,17.43,clear sky
254,Auki,SB,-8.7676,160.7034,84.51,70,100,5.95,overcast clouds
255,Linhares,BR,-19.3911,-40.0722,72.07,93,99,2.04,overcast clouds
256,Shalakusha,RU,62.2247,40.2539,33.44,88,100,10.36,overcast clouds
257,Chelmza,PL,53.1846,18.6047,30.22,97,100,4.45,overcast clouds
258,Bud,US,39.447,-86.1758,39.15,89,100,20.8,overcast clouds
259,Kruisfontein,ZA,-34.0033,24.7314,65.88,94,0,3.85,clear sky
260,Solnechnyy,RU,50.7214,136.6319,-12.33,86,100,4.85,overcast clouds
261,Fairbanks,US,64.8378,-147.7164,-9.44,76,20,0.0,few clouds
262,East London,ZA,-33.0153,27.9116,72.23,85,91,9.46,overcast clouds
263,Souillac,MU,-20.5167,57.5167,77.38,94,75,3.44,shower rain
264,Mandiana,GN,10.6333,-8.6833,72.52,17,9,4.59,clear sky
265,Inirida,CO,3.8653,-67.9239,75.74,80,100,1.12,overcast clouds
266,Sioux Lookout,CA,50.1001,-91.917,15.87,86,100,4.61,overcast clouds
267,Chengde,CN,40.9725,117.9361,10.92,39,0,4.76,clear sky
268,Berlevag,NO,70.8578,29.0864,30.2,80,100,13.8,overcast clouds
